ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
USER	Transfer Test	148	END	1777157028362	1777157029099
REQUEST	47		transfer-request	1777157028474	1777157029103	OK	 
USER	Transfer Test	47	END	1777157028312	1777157029104
REQUEST	111		transfer-request	1777157028553	1777157029113	OK	 
USER	Transfer Test	111	END	1777157028341	1777157029114
REQUEST	116		transfer-request	1777157028558	1777157029114	OK	 
USER	Transfer Test	116	END	1777157028341	1777157029116
REQUEST	120		transfer-request	1777157028563	1777157029117	OK	 
USER	Transfer Test	120	END	1777157028343	1777157029117
REQUEST	58		transfer-request	1777157028499	1777157029124	OK	 
REQUEST	135		transfer-request	1777157028574	1777157029119	OK	 
REQUEST	123		transfer-request	1777157028564	1777157029130	OK	 
REQUEST	53		transfer-request	1777157028500	1777157029132	OK	 
USER	Transfer Test	135	END	1777157028358	1777157029129
USER	Transfer Test	123	END	1777157028344	1777157029130
USER	Transfer Test	53	END	1777157028313	1777157029133
REQUEST	133		transfer-request	1777157028592	1777157029137	OK	 
USER	Transfer Test	133	END	1777157028351	1777157029137
USER	Transfer Test	58	END	1777157028314	1777157029138
REQUEST	104		transfer-request	1777157028546	1777157029140	OK	 
USER	Transfer Test	104	END	1777157028339	1777157029140
REQUEST	126		transfer-request	1777157028565	1777157029139	OK	 
USER	Transfer Test	126	END	1777157028347	1777157029141
REQUEST	146		transfer-request	1777157028587	1777157029142	OK	 
USER	Transfer Test	146	END	1777157028362	1777157029143
REQUEST	134		transfer-request	1777157028573	1777157029146	OK	 
USER	Transfer Test	134	END	1777157028358	1777157029146
REQUEST	61		transfer-request	1777157028495	1777157029154	OK	 
USER	Transfer Test	61	END	1777157028316	1777157029155
REQUEST	109		transfer-request	1777157028552	1777157029155	OK	 
USER	Transfer Test	109	END	1777157028341	1777157029156
REQUEST	76		transfer-request	1777157028512	1777157029160	OK	 
USER	Transfer Test	76	END	1777157028323	1777157029161
REQUEST	142		transfer-request	1777157028582	1777157029162	OK	 
USER	Transfer Test	142	END	1777157028359	1777157029163
REQUEST	144		transfer-request	1777157028583	1777157029164	OK	 
USER	Transfer Test	144	END	1777157028360	1777157029166
REQUEST	149		transfer-request	1777157028588	1777157029191	OK	 
USER	Transfer Test	149	END	1777157028362	1777157029193
REQUEST	150		transfer-request	1777157028590	1777157029195	OK	 
REQUEST	96		transfer-request	1777157028539	1777157029194	OK	 
USER	Transfer Test	150	END	1777157028363	1777157029196
USER	Transfer Test	96	END	1777157028331	1777157029196
REQUEST	147		transfer-request	1777157028584	1777157029197	OK	 
REQUEST	102		transfer-request	1777157028544	1777157029198	OK	 
USER	Transfer Test	147	END	1777157028362	1777157029198
USER	Transfer Test	102	END	1777157028338	1777157029199
REQUEST	89		transfer-request	1777157028531	1777157029200	OK	 
REQUEST	124		transfer-request	1777157028572	1777157029200	OK	 
USER	Transfer Test	89	END	1777157028331	1777157029200
REQUEST	113		transfer-request	1777157028557	1777157029200	OK	 
USER	Transfer Test	124	END	1777157028344	1777157029201
USER	Transfer Test	113	END	1777157028341	1777157029201
REQUEST	62		transfer-request	1777157028565	1777157029199	OK	 
USER	Transfer Test	62	END	1777157028316	1777157029206
REQUEST	140		transfer-request	1777157028578	1777157029208	OK	 
USER	Transfer Test	140	END	1777157028359	1777157029209
REQUEST	127		transfer-request	1777157028566	1777157029229	OK	 
REQUEST	72		transfer-request	1777157028506	1777157029229	OK	 
REQUEST	81		transfer-request	1777157028519	1777157029201	OK	 
REQUEST	145		transfer-request	1777157028583	1777157029230	OK	 
USER	Transfer Test	72	END	1777157028322	1777157029230
USER	Transfer Test	81	END	1777157028326	1777157029230
USER	Transfer Test	145	END	1777157028360	1777157029231
USER	Transfer Test	127	END	1777157028347	1777157029232
REQUEST	121		transfer-request	1777157028564	1777157029231	OK	 
USER	Transfer Test	121	END	1777157028343	1777157029237
REQUEST	90		transfer-request	1777157028532	1777157029238	OK	 
USER	Transfer Test	90	END	1777157028331	1777157029240
REQUEST	82		transfer-request	1777157028520	1777157029241	OK	 
USER	Transfer Test	82	END	1777157028327	1777157029242
REQUEST	38		transfer-request	1777157028456	1777157029242	OK	 
USER	Transfer Test	38	END	1777157028308	1777157029243
REQUEST	114		transfer-request	1777157028558	1777157029244	OK	 
USER	Transfer Test	114	END	1777157028341	1777157029245
REQUEST	100		transfer-request	1777157028591	1777157029248	OK	 
USER	Transfer Test	100	END	1777157028332	1777157029249
REQUEST	84		transfer-request	1777157028524	1777157029250	OK	 
REQUEST	91		transfer-request	1777157028535	1777157029251	OK	 
USER	Transfer Test	84	END	1777157028328	1777157029251
USER	Transfer Test	91	END	1777157028331	1777157029251
REQUEST	129		transfer-request	1777157028566	1777157029256	OK	 
USER	Transfer Test	129	END	1777157028348	1777157029257
REQUEST	131		transfer-request	1777157028573	1777157029261	OK	 
USER	Transfer Test	131	END	1777157028348	1777157029262
REQUEST	107		transfer-request	1777157028567	1777157029262	OK	 
USER	Transfer Test	107	END	1777157028340	1777157029264
REQUEST	105		transfer-request	1777157028546	1777157029267	OK	 
USER	Transfer Test	105	END	1777157028339	1777157029268
REQUEST	30		transfer-request	1777157028444	1777157029274	OK	 
USER	Transfer Test	30	END	1777157028300	1777157029274
REQUEST	87		transfer-request	1777157028525	1777157029278	OK	 
USER	Transfer Test	87	END	1777157028330	1777157029279
REQUEST	117		transfer-request	1777157028558	1777157029279	OK	 
USER	Transfer Test	117	END	1777157028341	1777157029280
REQUEST	60		transfer-request	1777157028494	1777157029286	OK	 
USER	Transfer Test	60	END	1777157028315	1777157029288
REQUEST	115		transfer-request	1777157028557	1777157029288	OK	 
