ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
USER	Account Statement Load	83	END	1777157044720	1777157045368
REQUEST	68		account-statement	1777157044714	1777157045366	OK	 
REQUEST	86		account-statement	1777157044746	1777157045364	OK	 
USER	Account Statement Load	68	END	1777157044711	1777157045369
REQUEST	174		account-statement	1777157044786	1777157045371	OK	 
USER	Account Statement Load	86	END	1777157044721	1777157045371
USER	Account Statement Load	174	END	1777157044785	1777157045372
USER	Account Statement Load	133	END	1777157044758	1777157045372
REQUEST	95		account-statement	1777157044739	1777157045370	OK	 
USER	Account Statement Load	95	END	1777157044738	1777157045373
REQUEST	48		account-statement	1777157044711	1777157045369	OK	 
REQUEST	169		account-statement	1777157044794	1777157045374	OK	 
USER	Account Statement Load	48	END	1777157044700	1777157045374
USER	Account Statement Load	169	END	1777157044782	1777157045375
REQUEST	59		account-statement	1777157044719	1777157045376	OK	 
REQUEST	60		account-statement	1777157044708	1777157045374	OK	 
USER	Account Statement Load	59	END	1777157044706	1777157045377
USER	Account Statement Load	60	END	1777157044708	1777157045378
REQUEST	193		account-statement	1777157044801	1777157045379	OK	 
REQUEST	79		account-statement	1777157044721	1777157045377	OK	 
USER	Account Statement Load	79	END	1777157044719	1777157045380
REQUEST	76		account-statement	1777157044717	1777157045378	OK	 
REQUEST	71		account-statement	1777157044722	1777157045382	OK	 
REQUEST	197		account-statement	1777157044801	1777157045382	OK	 
USER	Account Statement Load	76	END	1777157044717	1777157045381
USER	Account Statement Load	193	END	1777157044793	1777157045381
USER	Account Statement Load	71	END	1777157044713	1777157045383
REQUEST	88		account-statement	1777157044721	1777157045381	OK	 
REQUEST	80		account-statement	1777157044719	1777157045385	OK	 
USER	Account Statement Load	197	END	1777157044795	1777157045384
USER	Account Statement Load	88	END	1777157044721	1777157045385
REQUEST	75		account-statement	1777157044722	1777157045384	OK	 
REQUEST	159		account-statement	1777157044776	1777157045387	OK	 
USER	Account Statement Load	75	END	1777157044714	1777157045386
USER	Account Statement Load	159	END	1777157044776	1777157045387
USER	Account Statement Load	80	END	1777157044719	1777157045388
REQUEST	62		account-statement	1777157044708	1777157045393	OK	 
REQUEST	72		account-statement	1777157044713	1777157045389	OK	 
USER	Account Statement Load	72	END	1777157044713	1777157045396
USER	Account Statement Load	62	END	1777157044708	1777157045397
REQUEST	84		account-statement	1777157044720	1777157045397	OK	 
USER	Account Statement Load	84	END	1777157044720	1777157045399
REQUEST	155		account-statement	1777157044775	1777157045398	OK	 
USER	Account Statement Load	155	END	1777157044774	1777157045400
REQUEST	183		account-statement	1777157044789	1777157045401	OK	 
REQUEST	156		account-statement	1777157044785	1777157045400	OK	 
USER	Account Statement Load	156	END	1777157044774	1777157045402
USER	Account Statement Load	183	END	1777157044789	1777157045403
REQUEST	100		account-statement	1777157044753	1777157045407	OK	 
REQUEST	187		account-statement	1777157044791	1777157045408	OK	 
REQUEST	96		account-statement	1777157044739	1777157045409	OK	 
USER	Account Statement Load	100	END	1777157044742	1777157045409
USER	Account Statement Load	187	END	1777157044791	1777157045410
