ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
USER	Login - 100 Concurrentes	131	END	1777156497164	1777156497443
REQUEST	133		login-normal	1777156497180	1777156497446	OK	 
USER	Login - 100 Concurrentes	179	START	1777156497444	1777156497444
USER	Login - 100 Concurrentes	133	END	1777156497180	1777156497449
USER	Login - 100 Concurrentes	180	START	1777156497449	1777156497449
USER	Login - 100 Concurrentes	85	START	1777156497450	1777156497450
REQUEST	55		login-normal	1777156497150	1777156497451	OK	 
REQUEST	53		login-normal	1777156497131	1777156497450	OK	 
USER	Login - 100 Concurrentes	55	END	1777156497149	1777156497452
REQUEST	127		login-normal	1777156497141	1777156497452	OK	 
USER	Login - 100 Concurrentes	181	START	1777156497452	1777156497452
USER	Login - 100 Concurrentes	127	END	1777156497140	1777156497453
USER	Login - 100 Concurrentes	182	START	1777156497454	1777156497454
USER	Login - 100 Concurrentes	53	END	1777156497131	1777156497453
USER	Login - 100 Concurrentes	183	START	1777156497455	1777156497455
REQUEST	137		login-normal	1777156497195	1777156497456	OK	 
USER	Login - 100 Concurrentes	137	END	1777156497195	1777156497459
USER	Login - 100 Concurrentes	86	START	1777156497459	1777156497459
REQUEST	57		login-normal	1777156497170	1777156497460	OK	 
USER	Login - 100 Concurrentes	57	END	1777156497169	1777156497461
USER	Login - 100 Concurrentes	185	START	1777156497462	1777156497462
REQUEST	110		login-normal	1777156497029	1777156497417	OK	 
USER	Login - 100 Concurrentes	184	START	1777156497459	1777156497459
USER	Login - 100 Concurrentes	110	END	1777156497028	1777156497463
USER	Login - 100 Concurrentes	186	START	1777156497464	1777156497464
REQUEST	129		login-normal	1777156497154	1777156497461	OK	 
USER	Login - 100 Concurrentes	129	END	1777156497144	1777156497465
USER	Login - 100 Concurrentes	187	START	1777156497465	1777156497465
REQUEST	61		login-normal	1777156497216	1777156497466	OK	 
USER	Login - 100 Concurrentes	87	START	1777156497469	1777156497469
REQUEST	46		login-normal	1777156497053	1777156497469	OK	 
REQUEST	114		login-normal	1777156497035	1777156497470	OK	 
USER	Login - 100 Concurrentes	46	END	1777156497052	1777156497470
USER	Login - 100 Concurrentes	114	END	1777156497035	1777156497471
USER	Login - 100 Concurrentes	188	START	1777156497472	1777156497472
USER	Login - 100 Concurrentes	189	START	1777156497472	1777156497472
USER	Login - 100 Concurrentes	61	END	1777156497210	1777156497473
USER	Login - 100 Concurrentes	190	START	1777156497473	1777156497473
USER	Login - 100 Concurrentes	88	START	1777156497479	1777156497479
USER	Login - 100 Concurrentes	174	START	1777156497417	1777156497417
USER	Login - 100 Concurrentes	89	START	1777156497489	1777156497489
USER	Login - 100 Concurrentes	90	START	1777156497498	1777156497498
REQUEST	126		login-normal	1777156497119	1777156497504	OK	 
USER	Login - 100 Concurrentes	126	END	1777156497116	1777156497504
USER	Login - 100 Concurrentes	191	START	1777156497505	1777156497505
USER	Login - 100 Concurrentes	91	START	1777156497510	1777156497510
USER	Login - 100 Concurrentes	92	START	1777156497519	1777156497519
USER	Login - 100 Concurrentes	93	START	1777156497529	1777156497529
REQUEST	135		login-normal	1777156497184	1777156497533	OK	 
USER	Login - 100 Concurrentes	135	END	1777156497184	1777156497536
USER	Login - 100 Concurrentes	192	START	1777156497536	1777156497536
USER	Login - 100 Concurrentes	94	START	1777156497541	1777156497541
REQUEST	60		login-normal	1777156497202	1777156497544	OK	 
USER	Login - 100 Concurrentes	60	END	1777156497201	1777156497546
USER	Login - 100 Concurrentes	193	START	1777156497546	1777156497546
USER	Login - 100 Concurrentes	95	START	1777156497548	1777156497548
REQUEST	136		login-normal	1777156497187	1777156497548	OK	 
USER	Login - 100 Concurrentes	136	END	1777156497187	1777156497551
USER	Login - 100 Concurrentes	194	START	1777156497551	1777156497551
REQUEST	68		login-normal	1777156497280	1777156497554	OK	 
REQUEST	139		login-normal	1777156497221	1777156497550	OK	 
USER	Login - 100 Concurrentes	139	END	1777156497220	1777156497555
USER	Login - 100 Concurrentes	195	START	1777156497556	1777156497556
USER	Login - 100 Concurrentes	68	END	1777156497279	1777156497556
USER	Login - 100 Concurrentes	196	START	1777156497557	1777156497557
REQUEST	63		login-normal	1777156497230	1777156497555	OK	 
REQUEST	140		login-normal	1777156497226	1777156497559	OK	 
REQUEST	65		login-normal	1777156497258	1777156497560	OK	 
USER	Login - 100 Concurrentes	65	END	1777156497254	1777156497560
USER	Login - 100 Concurrentes	96	START	1777156497559	1777156497559
USER	Login - 100 Concurrentes	63	END	1777156497229	1777156497560
USER	Login - 100 Concurrentes	197	START	1777156497560	1777156497560
USER	Login - 100 Concurrentes	198	START	1777156497560	1777156497560
USER	Login - 100 Concurrentes	140	END	1777156497225	1777156497563
USER	Login - 100 Concurrentes	199	START	1777156497564	1777156497564
REQUEST	67		login-normal	1777156497270	1777156497567	OK	 
USER	Login - 100 Concurrentes	67	END	1777156497270	1777156497567
USER	Login - 100 Concurrentes	200	START	1777156497568	1777156497568
REQUEST	151		login-normal	1777156497320	1777156497568	OK	 
USER	Login - 100 Concurrentes	97	START	1777156497569	1777156497569
REQUEST	143		login-normal	1777156497252	1777156497571	OK	 
USER	Login - 100 Concurrentes	151	END	1777156497305	1777156497571
USER	Login - 100 Concurrentes	201	START	1777156497573	1777156497573
REQUEST	141		login-normal	1777156497241	1777156497571	OK	 
USER	Login - 100 Concurrentes	141	END	1777156497240	1777156497576
USER	Login - 100 Concurrentes	202	START	1777156497576	1777156497576
USER	Login - 100 Concurrentes	143	END	1777156497250	1777156497576
USER	Login - 100 Concurrentes	203	START	1777156497577	1777156497577
REQUEST	145		login-normal	1777156497254	1777156497577	OK	 
USER	Login - 100 Concurrentes	145	END	1777156497253	1777156497579
USER	Login - 100 Concurrentes	98	START	1777156497579	1777156497579
USER	Login - 100 Concurrentes	204	START	1777156497580	1777156497580
REQUEST	163		login-normal	1777156497384	1777156497581	OK	 
USER	Login - 100 Concurrentes	163	END	1777156497384	1777156497583
USER	Login - 100 Concurrentes	205	START	1777156497583	1777156497583
REQUEST	71		login-normal	1777156497315	1777156497584	OK	 
USER	Login - 100 Concurrentes	71	END	1777156497314	1777156497585
USER	Login - 100 Concurrentes	206	START	1777156497585	1777156497585
REQUEST	64		login-normal	1777156497240	1777156497582	OK	 
REQUEST	147		login-normal	1777156497277	1777156497588	OK	 
USER	Login - 100 Concurrentes	64	END	1777156497239	1777156497586
USER	Login - 100 Concurrentes	207	START	1777156497588	1777156497588
USER	Login - 100 Concurrentes	147	END	1777156497276	1777156497589
REQUEST	155		login-normal	1777156497334	1777156497589	OK	 
USER	Login - 100 Concurrentes	208	START	1777156497589	1777156497589
USER	Login - 100 Concurrentes	99	START	1777156497590	1777156497590
USER	Login - 100 Concurrentes	155	END	1777156497334	1777156497590
